date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:55:17	67/67	---M--	200	added ('OK')	text/plain	date:Sat,%2020%20Nov%202021%2011:55:15%20GMT	http://glanz.starkethemes.com/robots.txt		(from )
18:55:18	22607/22607	---MCZ	200	added ('OK')	text/html	date:Sat,%2020%20Nov%202021%2011:55:16%20GMT	http://glanz.starkethemes.com/	F:/httrack/wt/glanz.starkethemes.com/index.html	(from )
18:55:19	663/663	---M--	200	added ('OK')	text/css	etag:%225a3a40b9-297%22	http://glanz.starkethemes.com/wp-content/plugins/rsvp/rsvp_plugin.css	F:/httrack/wt/glanz.starkethemes.com/wp-content/plugins/rsvp/rsvp_plugin.css	(from http://glanz.starkethemes.com/)
18:55:20	1606/1606	---MCZ	200	added ('OK')	text/css	etag:W/%225a3a40b5-646%22	http://glanz.starkethemes.com/wp-content/plugins/contact-form-7/includes/css/styles.css	F:/httrack/wt/glanz.starkethemes.com/wp-content/plugins/contact-form-7/includes/css/styles.css	(from http://glanz.starkethemes.com/)
18:55:21	132631/132631	---M-Z	200	added ('OK')	application/javascript	etag:%226194c8bd-cb30%22	https://mc.yandex.ru/metrika/watch.js	F:/httrack/wt/mc.yandex.ru/metrika/watch.js	(from http://glanz.starkethemes.com/)
18:55:21	7870/7870	---MCZ	200	added ('OK')	text/css	etag:W/%225a3a3617-1ebe%22	http://glanz.starkethemes.com/wp-content/plugins/instagram-feed/css/sb-instagram.min.css	F:/httrack/wt/glanz.starkethemes.com/wp-content/plugins/instagram-feed/css/sb-instagram.min.css	(from http://glanz.starkethemes.com/)
18:55:21	16045/16045	---MCZ	200	added ('OK')	text/css	etag:W/%225a3a40c3-3ead%22	http://glanz.starkethemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css	F:/httrack/wt/glanz.starkethemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css	(from http://glanz.starkethemes.com/)
18:55:21	7000/7000	---MCZ	200	added ('OK')	text/css	etag:W/%225a3a40c3-1b58%22	http://glanz.starkethemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css	F:/httrack/wt/glanz.starkethemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css	(from http://glanz.starkethemes.com/)
18:55:22	61842/61842	---MCZ	200	added ('OK')	text/css	etag:W/%225a3a40c3-f192%22	http://glanz.starkethemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css	F:/httrack/wt/glanz.starkethemes.com/wp-content/plugins/woocommerce/assets/css/woocommerce.css	(from http://glanz.starkethemes.com/)
18:55:23	185555/185555	---MCZ	200	added ('OK')	text/css	etag:W/%22595dc72b-2d4d3%22	http://glanz.starkethemes.com/wp-content/themes/glanztheme/css/glanztheme_library.css	F:/httrack/wt/glanz.starkethemes.com/wp-content/themes/glanztheme/css/glanztheme_library.css	(from http://glanz.starkethemes.com/)
